SAR Image Super-Resolution Evaluation Results
============================================================

Real Images Directory: D:\Desktop\workspace\workspace\edsr\HR-SARBuD
Fake Images Directory: D:\Desktop\workspace\workspace\edsr\HR-SARBuD_SR
Number of Images: 17844

Per-Image Metrics:
------------------------------------------------------------
Filename	PSNR(dB)	SSIM	LPIPS	ENL_real	ENL_fake	EPI
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8679_HH_0_0_1_1.png	22.3081	0.4263	0.5612	48.6322	76.3742	0.3612
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8679_HH_1_0_0_0.png	21.4802	0.5167	0.4764	20.8453	28.2237	0.4000
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8679_HH_1_0_1_0.png	21.5036	0.4712	0.5879	27.3828	41.2438	0.3792
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8679_HH_1_0_1_1.png	21.8968	0.3988	0.5948	68.5136	144.8943	0.3556
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8679_HH_1_1_1_0.png	21.8968	0.3988	0.5948	68.5136	144.8943	0.3556
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8681_HH_0_0_0_0.png	27.9896	0.9489	0.0719	0.0000	0.0062	0.2706
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8681_HH_0_0_0_1.png	27.5071	0.9363	0.0788	0.0000	0.0054	0.2023
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8681_HH_0_1_1_1.png	21.0550	0.4676	0.5698	21.4554	30.7589	0.3885
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8681_VV_0_0_1_1.png	22.6304	0.4531	0.5318	59.3603	108.3919	0.3783
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8681_VV_0_1_0_1.png	27.2279	0.9342	0.0794	0.0082	0.0123	0.2486
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8681_VV_0_1_1_0.png	22.6304	0.4531	0.5318	59.3603	108.3919	0.3783
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8683_HH_1_0_1_0.png	23.7099	0.4508	0.5700	69.0232	125.3545	0.3653
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8683_HH_1_0_1_1.png	23.4344	0.4743	0.5805	57.8116	96.3555	0.3803
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8683_VV_0_0_1_0.png	23.1215	0.5404	0.4705	22.0385	30.3585	0.4212
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8683_VV_0_1_0_0.png	27.0979	0.9242	0.0986	0.0462	0.0484	0.2964
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8683_VV_1_0_0_0.png	23.1215	0.5404	0.4705	22.0385	30.3585	0.4212
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8683_VV_1_0_1_0.png	24.0847	0.4570	0.5809	74.0707	125.6144	0.3689
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8685_HH_0_1_1_0.png	21.8847	0.4303	0.5668	36.9172	57.9097	0.3751
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8685_HH_1_1_0_1.png	21.5218	0.3936	0.6265	39.1099	64.3065	0.3619
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8685_VV_1_0_1_1.png	21.2162	0.3834	0.6698	41.0361	68.7870	0.3601
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8687_HH_0_0_0_0.png	26.7973	0.8743	0.1211	0.1520	0.1608	0.2726
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8687_HH_0_0_1_1.png	23.3147	0.4748	0.5728	50.6272	85.9147	0.3859
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8687_HH_0_1_0_1.png	26.5163	0.8742	0.1164	0.1891	0.1921	0.3355
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8687_VV_0_1_1_0.png	23.6794	0.4979	0.5551	46.7174	75.7812	0.3976
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8689_HH_1_0_0_0.png	21.3105	0.4604	0.5513	23.7767	34.2137	0.3934
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8689_HH_1_0_0_1.png	20.8063	0.4035	0.5958	31.9546	53.3279	0.3707
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8689_VV_0_1_1_0.png	21.6007	0.4264	0.5719	35.9491	59.4939	0.3765
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8689_VV_1_0_1_0.png	19.1091	0.4511	0.5870	15.3676	23.4656	0.3970
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8689_VV_1_1_0_0.png	21.6007	0.4264	0.5719	35.9491	59.4939	0.3765
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8689_VV_1_1_1_0.png	20.4026	0.4370	0.5938	28.6509	53.0502	0.3825
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8689_VV_1_1_1_1.png	22.6281	0.4048	0.6082	80.3914	185.8254	0.3577
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8691_HH_1_0_1_1.png	20.9587	0.4996	0.5621	25.7750	42.0341	0.3987
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8691_HH_1_1_1_0.png	20.9587	0.4996	0.5621	25.7750	42.0341	0.3987
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8691_VV_0_1_0_0.png	23.6425	0.8380	0.1873	0.3174	0.3337	0.3312
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8691_VV_1_0_1_1.png	20.3862	0.4822	0.5888	22.5595	38.0869	0.4002
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8693_HH_0_0_0_0.png	24.1300	0.8193	0.1987	0.3887	0.3979	0.3368
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8693_HH_1_1_0_1.png	21.0088	0.4930	0.5022	34.3210	64.5044	0.3924
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8693_VV_0_1_0_0.png	23.8313	0.8237	0.2087	0.4068	0.4189	0.3723
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8693_VV_0_1_1_1.png	20.7931	0.4815	0.5437	33.8186	65.4109	0.3979
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8693_VV_1_0_0_0.png	20.2595	0.4841	0.5621	21.7277	33.3963	0.4040
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8693_VV_1_1_0_0.png	20.9288	0.4979	0.5382	33.1736	62.8759	0.4041
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8695_HH_0_0_1_0.png	21.8412	0.4954	0.5729	41.4659	78.9225	0.3971
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8695_HH_0_0_1_1.png	22.8310	0.4838	0.4991	54.6751	97.4489	0.3945
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8695_HH_1_1_0_1.png	19.6143	0.4238	0.6211	16.6473	23.6108	0.3812
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8695_HH_1_1_1_0.png	23.4617	0.4676	0.5449	68.3540	119.3566	0.3758
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8695_VV_0_0_1_0.png	22.5430	0.5150	0.5487	45.6058	83.3109	0.3995
SN6_Train_AOI_11_Rotterdam_SAR-Intensity_20190804111224_20190804111453_tile_8695_VV_0_1_0_1.png	22.9633	0.7590	0.2698	0.5560	0.5725	0.3196
