SAR Image Super-Resolution Evaluation Results
============================================================

Real Images Directory: D:\Desktop\workspace\workspace\edsr\coco
Fake Images Directory: D:\Desktop\workspace\workspace\edsr\coco_SR
Number of Images: 35768

Per-Image Metrics:
------------------------------------------------------------
Filename	PSNR(dB)	SSIM	LPIPS	ENL_real	ENL_fake	EPI
0000001_1_1.png	23.0021	0.6205	0.4153	31.5690	42.0506	0.3814
0000005_0_1.png	29.0337	0.7487	0.4080	676.2311	3068.1187	0.3279
0000005_1_1.png	29.2002	0.7403	0.3765	670.9249	1949.8728	0.3554
0000006_0_0.png	12.5848	0.1059	1.2129	7.2614	19.4944	0.3231
0000009_0_0.png	11.3296	0.3901	0.6322	7.9782	28.8158	0.1024
0000021_0_0.png	13.8988	0.1534	1.0037	19.8412	110.8991	0.1654
0000022_0_0.png	16.2496	0.1987	0.9343	26.2408	66.5812	0.2262
0000027_0_0.png	9.8575	0.1466	1.0488	6.4617	22.1713	0.1524
0000032_0_0.png	15.1930	0.4422	0.6175	2.0396	2.4958	0.3440
0000033_0_0.png	7.4814	0.0833	1.2944	3.1222	13.7738	0.2849
0000036_0_0.png	24.1992	0.6892	0.3512	51.5610	77.5671	0.4144
0000038_0_0.png	11.1459	0.4246	0.5721	7.6746	22.9449	0.1113
0000040_0_0.png	17.6194	0.2274	0.9295	10.9972	17.2018	0.3359
0000042_1_2.png	15.6914	0.1583	0.9921	32.4392	178.6370	0.1967
0000042_2_0.png	15.3407	0.1545	1.0101	28.8648	146.9317	0.1994
0000046_0_0.png	18.0419	0.5141	0.5210	5.7647	9.0139	0.4177
0000056_0_0.png	9.3578	0.1606	1.1158	2.3826	4.8940	0.2948
0000065_0_1.png	17.7368	0.5110	0.7124	50.8886	452.4825	0.0095
0000065_1_1.png	17.3460	0.4986	0.7131	53.5759	431.4826	0.0148
0000075_0_0.png	9.8749	0.4449	0.9295	0.8407	1.3852	0.2846
0000086_0_1.png	34.4539	0.8818	0.2197	522.2560	725.4436	0.3753
0000102_0_0.png	15.1291	0.1496	1.0406	18.5360	54.8493	0.3118
0000106_1_1.png	18.8122	0.5503	0.6167	47.1924	128.3692	0.1971
0000107_1_0.png	17.1580	0.2066	0.9251	45.4254	284.9894	0.2077
0000107_2_1.png	16.9113	0.2102	0.9159	41.0671	273.9738	0.1948
0000108_0_0.png	15.7601	0.2156	0.9508	28.1738	105.6714	0.2041
0000110_1_1.png	12.4650	0.2246	0.9537	7.9299	20.2102	0.3190
0000110_2_2.png	14.5523	0.3089	0.8457	16.1327	37.8957	0.2841
0000114_0_0.png	14.8371	0.1722	1.0330	18.0675	59.3002	0.3293
0000115_0_1.png	14.1251	0.2452	0.9824	5.4767	9.4399	0.3467
0000115_1_1.png	14.9267	0.2254	0.9723	9.6710	15.5066	0.3203
0000119_0_0.png	22.1129	0.3302	0.7415	32.5480	55.3070	0.3440
0000125_0_0.png	14.8932	0.2148	0.9810	8.3860	19.8825	0.3483
0000128_0_0.png	18.5667	0.6203	0.6253	60.3307	478.1689	0.0591
0000130_0_0.png	25.2680	0.5883	0.3829	6.7134	8.1169	0.4138
0000135_0_0.png	27.3856	0.6651	0.3928	192.1109	309.4750	0.3556
0000137_1_1.png	17.0769	0.1963	0.9190	43.9950	277.7273	0.2209
0000149_0_0.png	11.0617	0.3102	0.6888	8.1837	29.6740	0.0902
0000156_1_1.png	28.7555	0.6889	0.3753	451.5220	1050.2611	0.3456
0000157_0_0.png	8.1757	0.1008	1.2303	3.0980	11.8634	0.3097
0000158_0_0.png	23.2900	0.9727	0.1453	0.0055	0.0088	0.3031
0000161_1_0.png	35.8442	0.9031	0.2823	540.6485	712.3264	0.3967
0000161_1_1.png	32.5307	0.8804	0.2619	509.9171	670.8752	0.3916
0000169_0_0.png	13.1137	0.2006	1.0441	5.6763	15.7484	0.3472
0000170_0_0.png	15.8138	0.2211	0.9082	28.5739	109.6758	0.2476
0000173_1_0.png	12.8104	0.2493	0.9313	4.9709	10.4650	0.3541
0000175_2_1.png	18.7958	0.3710	0.7716	68.4120	503.1317	0.1720
0000184_0_1.png	24.2155	0.7841	0.6086	287.1746	4216.1021	0.1906
