SAR Image Super-Resolution Evaluation Results
============================================================

Real Images Directory: D:\Desktop\workspace\workspace\edsr\iceye
Fake Images Directory: D:\Desktop\workspace\workspace\ScSR_1\all_SR
Number of Images: 265

Per-Image Metrics:
------------------------------------------------------------
Filename	PSNR(dB)	SSIM	LPIPS	ENL_real	ENL_fake	EPI
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0000_y0_x0_large_0_1.png	16.2219	0.1863	0.8638	85.9136	26.3068	-0.4217
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0002_y0_x1024_large_0_0.png	16.2158	0.2710	0.8553	93.8711	30.8800	0.3338
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0005_y0_x2560_large_1_0.png	16.9145	0.3797	0.6994	54.5583	25.5566	0.3642
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0005_y0_x2560_large_1_1.png	15.8323	0.3796	0.6662	61.7357	21.9938	0.3187
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0008_y512_x0_large_0_1.png	13.6491	0.1661	0.8645	89.8159	29.5371	-0.5824
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0009_y512_x512_large_1_0.png	15.5084	0.2955	0.8586	91.5439	24.3257	0.3667
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0010_y512_x1024_large_1_1.png	16.2323	0.3569	0.8181	56.2021	30.1989	0.4109
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0011_y512_x1536_large_0_1.png	16.0987	0.3677	0.7320	59.3692	21.1963	0.3072
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0011_y512_x1536_large_1_1.png	16.7078	0.3400	0.7458	68.2028	20.1707	0.1751
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0014_y512_x3072_large_0_0.png	16.7019	0.4072	0.6594	45.2865	21.0748	0.3506
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0014_y512_x3072_large_0_1.png	17.0951	0.4227	0.6612	44.2031	20.1167	0.3334
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0014_y512_x3072_large_1_0.png	17.8752	0.4224	0.6236	45.0977	20.3372	0.3247
