SAR Image Super-Resolution Evaluation Results
============================================================

Real Images Directory: D:\Desktop\workspace\workspace\edsr\iceye
Fake Images Directory: D:\Desktop\workspace\workspace\edsr\iceye_SR
Number of Images: 265

Per-Image Metrics:
------------------------------------------------------------
Filename	PSNR(dB)	SSIM	LPIPS	ENL_real	ENL_fake	EPI
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0000_y0_x0_large_0_1.png	27.3900	0.3961	0.7754	85.9136	392.0282	0.2949
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0002_y0_x1024_large_0_0.png	27.0220	0.3806	0.7913	93.8711	335.6223	0.2940
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0005_y0_x2560_large_1_0.png	23.7505	0.4030	0.5966	54.5583	119.2094	0.3701
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0005_y0_x2560_large_1_1.png	23.7376	0.4139	0.5547	61.7357	146.6314	0.3746
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0008_y512_x0_large_0_1.png	27.6860	0.4073	0.7705	89.8159	406.1715	0.2882
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0009_y512_x512_large_1_0.png	27.9161	0.4235	0.7456	91.5440	308.0703	0.2956
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0010_y512_x1024_large_1_1.png	27.4114	0.4393	0.7458	56.2021	86.2443	0.3170
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0011_y512_x1536_large_0_1.png	24.3283	0.4166	0.6157	59.3692	129.8707	0.3771
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0011_y512_x1536_large_1_1.png	24.7471	0.4087	0.6256	68.2028	155.4680	0.3631
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0014_y512_x3072_large_0_0.png	23.7351	0.4301	0.5597	45.2865	94.4354	0.3835
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0014_y512_x3072_large_0_1.png	23.8617	0.4545	0.5482	44.2031	79.8140	0.3966
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0014_y512_x3072_large_1_0.png	23.6311	0.4431	0.5518	45.0977	96.0268	0.3928
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0017_y1024_x512_large_1_0.png	28.3978	0.4543	0.7344	88.9787	193.4855	0.3044
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0020_y1024_x2048_large_1_0.png	24.7933	0.4029	0.6362	78.2748	202.9866	0.3585
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0021_y1024_x2560_large_0_1.png	23.5437	0.4441	0.5133	40.3662	77.3995	0.3927
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0021_y1024_x2560_large_1_0.png	23.7586	0.4339	0.5145	44.3271	94.3989	0.3858
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0026_y1536_x1024_large_0_1.png	24.8222	0.4573	0.6127	29.6595	45.0809	0.3587
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0029_y1536_x2560_large_1_0.png	23.8643	0.3928	0.6306	60.4234	143.2142	0.3541
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0031_y1536_x3584_large_1_0.png	26.1156	0.4089	0.7584	103.0451	268.0591	0.3400
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0033_y2048_x512_large_0_0.png	22.9754	0.4123	0.5401	42.7398	114.6324	0.3714
ICEYE_QUICKLOOK_SC_244270_20220207T192226_b0033_y2048_x512_large_0_1.png	24.9330	0.4123	0.6572	82.2988	227.6875	0.3549
